Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas(einschl.bivalent)";"Hybrid insgesamt";"darunterPlug-in-Hybrid";Elektro (BEV);sonstige
;1.456.920;576.688;22.749;41.222;11.285;11.750;1.785
;6.951.506;2.985.893;142.871;220.794;61.652;62.737;7
07111  KOBLENZ,STADT;40.615;21.566;438;1.473;512;364;14
07131  AHRWEILER;57.007;26.729;918;1.355;373;388;20
07132  ALTENKIRCHEN(WESTWLD.);56.308;26.248;783;1.275;343;330;14
07133  BAD KREUZNACH;67.184;31.265;816;1.498;390;507;11
07134  BIRKENFELD;35.424;15.950;259;865;143;179;8
07135  COCHEM-ZELL;24.759;16.130;388;472;139;192;15
07137  MAYEN-KOBLENZ;92.686;43.579;1.090;2.159;620;711;21
07138  NEUWIED;78.909;38.564;1.376;2.021;592;568;8
07140  RHEIN-HUNSRUECK-KREIS;41.532;27.623;541;1.085;250;365;19
07141  RHEIN-LAHN-KREIS;54.242;24.303;822;1.107;294;398;20
07143  WESTERWALDKREIS;87.763;46.739;1.100;2.247;716;652;157
;636.429;318.696;8.531;15.557;4.372;4.654;21
07211  TRIER-SAARBURG;94.448;55.981;489;2.831;766;918;9
07231  BERNKASTEL-WITTLICH;44.978;28.911;328;1.131;298;365;12
07232  EIFELKREIS BITBURG-PRUEM;35.875;29.725;296;1.131;216;340;9
07233  VULKANEIFEL;24.136;16.664;276;539;167;194;51
;199.437;131.281;1.389;5.632;1.447;1.817;5
07311  FRANKENTHAL(PFALZ),STADT;18.475;7.773;194;583;161;109;11
07312  KAISERSLAUTERN,STADT;33.955;13.712;369;1.248;280;359;3
07313  LANDAU I.D.PFALZ,STADT;18.737;7.959;195;631;220;200;16
07314  LUDWIGSHAFEN A.RH.,STADT;57.546;24.123;581;1.969;632;517;18
07315  MAINZ,STADT;67.529;29.312;694;2.448;728;721;6
07316  NEUSTADT A.D.WSTR.,STADT;22.330;9.884;227;540;153;203;1
07317  PIRMASENS,STADT;16.053;6.423;141;505;111;116;1
07318  SPEYER,STADT;19.900;8.766;245;587;159;174;7
